Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
393	9	Si4b2	B4b1	312	313	1	8	303	95	96	li	47.58333
394	9	La4	A4	305	305	1	8	303	95	96	ni  	47.66667
395	9			-1	-1	1	8	303	100	0		47.75
396	12	Mi5	E5	336	336	4	16	606	99	96	Kur	47.91667
397	9	Re5	D5	327	327	1	8	303	95	96		48
398	53			0	0	0	0	0	0	0		48
399	51			0	0	10	8	0	30	0	Aksaksemâî	48
400	9	Re5	D5	327	327	1	4	417	95	96	bâ	48.2
401	9	Do5	C5	318	318	1	8	208	95	96	nın_	48.3
402	9	Re5	D5	327	327	1	8	208	99	96	ol	48.4
403	9	Do5	C5	318	318	1	8	208	99	96		48.5
404	9	Re5	D5	327	327	1	8	208	95	96		48.6
405	9	Mi5	E5	336	336	1	8	208	95	96	du	48.7
406	9	Do5	C5	318	318	4	16	417	99	96	ğum 	48.9
407	9	Si4b2	B4b1	312	313	1	8	208	99	96		49
408	9	Do5	C5	318	318	1	4	417	99	96		49.2
409	9	Si4b2	B4b1	312	313	1	8	208	99	96		49.3
410	9	Do5	C5	318	318	1	8	208	99	96		49.4
411	9	Si4b2	B4b1	312	313	1	8	208	95	96		49.5
412	8	Fa5#3	F5#4	343	344	0	0	0	95	96		49.5
413	9	Sol5	G5	349	349	1	8	208	95	96	bi	49.6
414	9	Sol5	G5	349	349	1	8	208	95	96	ze 	49.7
415	9	Sol5	G5	349	349	1	8	208	99	96	yok 	49.8
416	9	Fa5	F5	340	340	1	8	208	99	96		49.9
417	9	Mi5	E5	336	336	1	8	208	99	96		50
418	9	Re5	D5	327	327	1	4	417	95	96		50.2
419	53			0	0	0	0	0	0	0		50.2
420	9	Sol4	G4	296	296	1	4	417	50	96	mu 	50.4
421	9	La4	A4	305	305	1	8	208	95	96	mü	50.5
422	9	Si4b2	B4b1	312	313	1	8	208	99	96	rüv	50.6
423	9	Do5	C5	318	318	1	8	208	99	96		50.7
424	9	Re5	D5	327	327	4	16	417	99	96		50.9
425	9	Do5	C5	318	318	1	8	208	99	96		51
426	9	Si4b2	B4b1	312	313	1	4	417	99	96		51.2
427	10	La4	A4	305	305	1	8	208	99	96		51.3
428	8	Si4b2	B4b1	312	313	0	0	0	99	96		51.3
429	9	Sol4	G4	296	296	1	4	417	95	96		51.5
430	9	Mi5	E5	336	336	1	8	208	99	96	ve	51.6
431	9	Re5	D5	327	327	1	8	208	95	96		51.7
432	9	Re5	D5	327	327	1	4	417	99	96	tin 	51.9
433	9	Do5	C5	318	318	1	8	208	95	96		52
434	9	Si4b2	B4b1	312	313	1	4	417	99	96	vay  	52.2
435	9	La4	A4	305	305	1	8	208	99	96		52.3
436	9	La4	A4	305	305	3	8	625	95	96		52.6
437	9			-1	-1	1	8	208	100	0		52.7
438	53			0	0	0	0	0	0	0		52.7
439	54			0	0	0	0	0	0	0	muhayyer@la4	52.7
440	12	Sol5	G5	349	349	4	16	417	99	96	Ey 	52.9
441	9	La5	A5	358	358	1	8	208	95	96		53
442	9	La5	A5	358	358	1	4	417	95	96	dil 	53.2
443	9	Sol5	G5	349	349	1	8	208	95	96	ne	53.3
444	9	Do6	C6	371	371	1	8	208	99	96	dir 	53.4
445	9	Si5b2	B5b1	365	366	1	8	208	99	96		53.5
